Titulli Filmit,Zhanri,Buxheti,Popullariteti,Data e publikimit,Te ardhurat,Kohezgjatja,Vota Mesatare,Numri i Votave
Avatar,Action,237000000,150.437577,2009-12-10,2787965087,162,7.2,11800
Pirates of the Caribbean: At World's End,Adventure,300000000,139.082615,2007-05-19,961000000,169,6.9,4500
Spectre,Action,245000000,107.376788,2015-10-26,880674609,148,6.3,4466
The Dark Knight Rises,Action,250000000,112.31295,2012-07-16,1084939099,165,7.6,9106
John Carter,Action,260000000,43.926995,2012-03-07,284139100,132,6.1,2124
Spider-Man 3,Fantasy,258000000,115.699814,2007-05-01,890871626,139,5.9,3576
Tangled,Animation,260000000,48.681969,2010-11-24,591794936,100,7.4,3330
Avengers: Age of Ultron,Action,280000000,134.279229,2015-04-22,1405403694,141,7.3,6767
Harry Potter and the Half-Blood Prince,Adventure,250000000,98.885637,2009-07-07,933959197,153,7.4,5293
Batman v Superman: Dawn of Justice,Action,250000000,155.790452,2016-03-23,873260194,151,5.7,7004
Superman Returns,Adventure,270000000,57.925623,2006-06-28,391081192,154,5.4,1400
Quantum of Solace,Adventure,200000000,107.928811,2008-10-30,586090727,106,6.1,2965
Pirates of the Caribbean: Dead Man's Chest,Adventure,200000000,145.847379,2006-06-20,1065659812,151,7,5246
The Lone Ranger,Action,255000000,49.046956,2013-07-03,89289910,149,5.9,2311
Man of Steel,Action,225000000,99.398009,2013-06-12,662845518,143,6.5,6359
The Chronicles of Narnia: Prince Caspian,Adventure,225000000,53.978602,2008-05-15,419651413,150,6.3,1630
The Avengers,Science Fi,220000000,144.448633,2012-04-25,1519557910,143,7.4,11776
Pirates of the Caribbean: On Stranger Tides,Adventure,380000000,135.413856,2011-05-14,1045713802,136,6.4,4948
Men in Black 3,Action,225000000,52.035179,2012-05-23,624026776,106,6.2,4160
The Hobbit: The Battle of the Five Armies,Action,250000000,120.965743,2014-12-10,956019788,144,7.1,4760
The Amazing Spider-Man,Action,215000000,89.866276,2012-06-27,752215857,136,6.5,6586
Robin Hood,Action,200000000,37.668301,2010-05-12,310669540,140,6.2,1398
The Hobbit: The Desolation of Smaug,Adventure,250000000,94.370564,2013-12-11,958400000,161,7.6,4524
The Golden Compass,Adventure,180000000,42.990906,2007-12-04,372234864,113,5.8,1303
King Kong,Adventure,207000000,61.22601,2005-12-14,550000000,187,6.6,2337
Titanic,Drama,200000000,100.025899,1997-11-18,1845034188,194,7.5,7562
Captain America: Civil War,Adventure,250000000,198.372395,2016-04-27,1153304495,147,7.1,7241
Battleship,Thriller,209000000,64.928382,2012-04-11,303025485,131,5.5,2114
Jurassic World,Action,150000000,418.708552,2015-06-09,1513528810,124,6.5,8662
Skyfall,Action,200000000,93.004993,2012-10-25,1108561013,143,6.9,7604
Spider-Man 2,Action,200000000,35.149586,2004-06-25,783766341,127,6.7,4321
Iron Man 3,Action,200000000,77.68208,2013-04-18,1215439994,130,6.8,8806
Alice in Wonderland,Family,200000000,78.530105,2010-03-03,1025491110,108,6.4,4645
X-Men: The Last Stand,Adventure,210000000,3.857526,2006-05-24,459359555,104,6.3,3525
Monsters University,Animation,200000000,89.186492,2013-06-20,743559607,104,7,3528
Transformers: Revenge of the Fallen,Science Fi,150000000,21.939663,2009-06-19,836297228,150,6,3138
Transformers: Age of Extinction,Science Fi,210000000,116.840296,2014-06-25,1091405097,165,5.8,3095
Oz: The Great and Powerful,Fantasy,200000000,46.985445,2013-03-07,491868548,130,5.7,3530
The Amazing Spider-Man 2,Action,200000000,89.270217,2014-04-16,705717432,142,6.5,4179
TRON: Legacy,Adventure,170000000,73.79505,2010-12-10,400062763,125,6.3,2841
Cars 2,Animation,200000000,49.98659,2011-06-11,559852396,106,5.8,2033
Green Lantern,Adventure,200000000,51.872839,2011-06-16,219851172,114,5.1,2487
Toy Story 3,Animation,200000000,59.995418,2010-06-16,1066969703,103,7.6,4597
Terminator Salvation,Action,200000000,71.862892,2009-05-20,371353001,115,5.9,2463
Furious 7,Action,190000000,102.322217,2015-04-01,1506249360,137,7.3,4176
World War Z,Action,200000000,81.834855,2013-06-20,531865000,116,6.7,5560
X-Men: Days of Future Past,Action,250000000,118.078691,2014-05-15,747862775,131,7.5,6032
Star Trek Into Darkness,Action,190000000,78.291018,2013-05-05,467365246,132,7.4,4418
Jack the Giant Slayer,Action,195000000,43.349855,2013-02-27,197687603,114,5.5,2598
The Great Gatsby,Drama,105000000,61.196071,2013-05-10,351040419,143,7.3,3769
Prince of Persia: The Sands of Time,Adventure,150000000,62.169881,2010-05-19,335154643,116,6.2,2317
Pacific Rim,Action,180000000,56.523205,2013-07-11,407602906,131,6.7,4794
Transformers: Dark of the Moon,Action,195000000,28.529607,2011-06-28,1123746996,154,6.1,3299
Indiana Jones and the Kingdom of the Crystal Skull,Adventure,185000000,75.674458,2008-05-21,786636033,122,5.7,2495
The Good Dinosaur,Adventure,175000000,51.692953,2015-11-14,331926147,93,6.6,1736
Brave,Animation,185000000,125.114374,2012-06-21,538983207,93,6.7,4641
Star Trek Beyond,Action,185000000,65.352913,2016-07-07,343471816,122,6.6,2568
WALL·E,Animation,180000000,66.390712,2008-06-22,521311860,98,7.8,6296
Rush Hour 3,Action,140000000,22.57178,2007-08-08,258022233,91,6.1,783
2012,Action,200000000,45.274225,2009-10-10,769653595,158,5.6,4903
A Christmas Carol,Animation,200000000,39.744242,2009-11-04,325233863,96,6.6,1095
Jupiter Ascending,Science Fi,176000003,85.36908,2015-02-04,183987723,124,5.2,2768
The Legend of Tarzan,Action,180000000,42.741719,2016-06-29,356743061,109,5.5,2430
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,180000000,67.391328,2005-12-07,748806957,143,6.7,2629
X-Men: Apocalypse,Science Fi,178000000,139.272042,2016-05-18,543934787,144,6.4,4721
The Dark Knight,Drama,185000000,187.322927,2008-07-16,1004558444,152,8.2,12002
Up,Animation,175000000,92.201962,2009-05-13,735099082,96,7.7,6870
Monsters vs Aliens,Animation,175000000,36.167578,2009-03-19,381509870,94,6,1423
Iron Man,Action,140000000,120.725053,2008-04-30,585174222,126,7.4,8776
Hugo,Adventure,170000000,32.319043,2011-11-22,185770160,126,7,2141
Wild Wild West,Action,170000000,40.748915,1999-06-29,222104681,106,5.1,1020
The Mummy: Tomb of the Dragon Emperor,Adventure,145000000,60.034162,2008-07-01,401128639,112,5.2,1387
Suicide Squad,Action,175000000,90.23792,2016-08-02,745000000,123,5.9,7458
Evan Almighty,Fantasy,175000000,27.082182,2007-06-09,173000000,96,5.3,1151
Edge of Tomorrow,Action,178000000,79.456485,2014-05-27,370541256,113,7.6,4858
Waterworld,Adventure,175000000,44.640292,1995-07-28,264218220,135,5.9,992
G.I. Joe: The Rise of Cobra,Adventure,175000000,32.852443,2009-08-04,302469017,118,5.6,1962
Inside Out,Drama,175000000,128.655964,2015-06-09,857611174,94,8,6560
The Jungle Book,Family,175000000,94.199316,2016-04-07,966550600,106,6.7,2892
Iron Man 2,Adventure,200000000,77.300194,2010-04-28,623933331,124,6.6,6849
Snow White and the Huntsman,Adventure,170000000,77.178973,2012-05-30,396600000,127,5.8,3118
Maleficent,Fantasy,180000000,110.620647,2014-05-28,758539785,97,7,4496
Dawn of the Planet of the Apes,Science Fi,170000000,243.791743,2014-06-26,710644566,130,7.3,4410
The Lovers,Action,27000000,2.418535,2015-02-13,0,109,4.8,34
47 Ronin,Drama,175000000,41.796339,2013-12-06,150962475,119,5.9,1326
Captain America: The Winter Soldier,Action,170000000,72.225265,2014-03-20,714766572,136,7.6,5764
Shrek Forever After,Comedy,165000000,44.041186,2010-05-16,752600867,93,6,1959
Tomorrowland,Adventure,190000000,130.311355,2015-05-19,209154322,130,6.2,2846
Big Hero 6,Adventure,165000000,203.73459,2014-10-24,652105443,102,7.8,6135
Wreck-It Ralph,Family,165000000,62.341073,2012-11-01,471222889,108,7.1,4570
The Polar Express,Adventure,165000000,47.323228,2004-11-10,305875730,100,6.4,1474
Independence Day: Resurgence,Action,165000000,48.775723,2016-06-22,389681935,120,4.9,2491
How to Train Your Dragon,Fantasy,165000000,67.263269,2010-03-05,494878759,98,7.5,4227
Terminator 3: Rise of the Machines,Action,200000000,69.405188,2003-07-02,435000000,109,5.9,2143
Guardians of the Galaxy,Action,170000000,481.098624,2014-07-30,773328629,121,7.9,9742
Interstellar,Adventure,165000000,724.247784,2014-11-05,675120017,169,8.1,10867
Inception,Action,160000000,167.58371,2010-07-14,825532764,148,8.1,13752
シン・ゴジラ,Action,15000000,9.476999,2016-07-29,77000000,120,6.5,143
The Hobbit: An Unexpected Journey,Adventure,250000000,108.849621,2012-11-26,1021103568,169,7,8297
The Fast and the Furious,Action,38000000,6.909942,2001-06-22,207283925,106,6.6,3428
The Curious Case of Benjamin Button,Fantasy,150000000,60.269279,2008-11-24,333932083,166,7.3,3292
X-Men: First Class,Action,160000000,3.195174,2011-05-24,353624124,132,7.1,5181
The Hunger Games: Mockingjay - Part 2,Action,160000000,127.284427,2015-11-18,653428261,137,6.6,3984
The Sorcerer's Apprentice,Fantasy,150000000,35.580815,2010-07-13,215283742,109,5.8,1470
Poseidon,Adventure,160000000,21.133748,2006-05-12,181674817,99,5.5,583
Alice Through the Looking Glass,Fantasy,170000000,56.268916,2016-05-25,299370084,113,6.5,1725
Shrek the Third,Fantasy,160000000,42.986467,2007-05-17,798958165,93,6,2278
Warcraft,Action,160000000,63.148529,2016-05-25,433677183,123,6.3,2268
Terminator Genisys,Science Fi,155000000,202.042635,2015-06-23,440603537,126,5.8,3631
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,155000000,49.661984,2010-08-13,415686217,113,6.2,1514
Pearl Harbor,History,140000000,34.20669,2001-05-21,449220945,183,6.6,1791
Transformers,Adventure,150000000,25.468493,2007-06-27,709709780,144,6.6,4040
Alexander,War,155000000,39.019229,2004-11-21,167298192,175,5.6,927
Harry Potter and the Order of the Phoenix,Adventure,150000000,78.144395,2007-06-28,938212738,138,7.4,5494
Harry Potter and the Goblet of Fire,Adventure,150000000,101.250416,2005-11-05,895921036,157,7.5,5608
Hancock,Fantasy,150000000,56.758411,2008-07-01,624029371,92,6.2,2961
I Am Legend,Drama,150000000,70.867401,2007-12-14,585349010,101,6.9,4853
Charlie and the Chocolate Factory,Adventure,150000000,53.905592,2005-07-13,474968763,115,6.7,3624
Ratatouille,Animation,150000000,65.677399,2007-06-22,623722818,111,7.5,4369